c0_corrected,c0_error,phi,v_obs,v_bar,radius_kpc,g_obs,g_N
66.41300397047668,139.95729513657284,0.08402291744899186,30.9,28.40977472631559,1.8,1.7188917692806223e-11,1.4530051487002234e-11
39.09373897887003,34.317605929818896,0.2089438524641124,34.7,28.156995578363823,2.25,1.734125441059984e-11,1.14181090228271e-11
33.16029687706507,125.39347195970574,0.07011139867238453,13.8,12.865601423952167,0.49,1.2594071977462405e-11,1.0946321107833934e-11
98.45689721585077,3823.6259916066556,0.013642858149921595,16.6,16.375066412079065,0.73,1.2231997798275908e-11,1.1902751267323037e-11
62.33591033261472,765.4717538834694,0.03952807919990385,18.6,17.879119105817267,0.85,1.3188974877053867e-11,1.218645495787427e-11
186.65950869473215,11814.384877223772,0.00644608181461181,21.4,21.26249750146958,1.07,1.3869086195722619e-11,1.369143130568561e-11
73.51725936843677,369.0424452523506,0.06376894942539553,28.9,27.1146086086449,1.54,1.757434075969397e-11,1.5469990152426966e-11
92.60418496630861,480.0688420152205,0.053694971259988684,32.9,31.18002565746218,2.02,1.736378919810322e-11,1.5595727751647492e-11
109.01047964841571,618.5975947859819,0.04547019555549429,35.2,33.63529247680181,2.49,1.6124641143966665e-11,1.4722960539500845e-11
87.19414416578083,291.70924248787264,0.07432493626358039,37.6,34.90671138907245,2.96,1.5477045418717486e-11,1.3339213930391833e-11
62.34607888950389,110.00373619051382,0.13920034839224818,40.6,35.32418010371932,3.43,1.5572632163688547e-11,1.1788380327596273e-11
55.09187641639225,75.73331133070066,0.17615565032547956,42.7,35.80341464162322,3.9,1.514939262508932e-11,1.065095052927198e-11
46.41763026066993,47.51014602504388,0.23512291611251715,45.5,35.96655251758222,4.37,1.5351309746088856e-11,9.592245039604564e-12
39.113946486354514,30.589846759634348,0.3066380774077696,48.9,35.986336295877635,4.86,1.594356832529224e-11,8.63461697457521e-12
34.88061482793808,23.16019085842035,0.3610687227101866,51.5,35.891951744088814,5.34,1.6094492221728672e-11,7.817303467878374e-12
32.469999809868064,19.742780053043393,0.3958486351751586,53.0,35.67475437897225,5.81,1.566677784185534e-11,7.098227741072614e-12
30.477677288924955,16.92438878713028,0.4319902996349781,55.0,35.70686208559918,6.28,1.5608810696343875e-11,6.578817012107277e-12
62.68478286987861,249.70582596926548,0.05843766404472697,23.4,22.071746645881923,0.82,2.1638240361664797e-11,1.9251458198314965e-11
42.53452539849673,57.934440406164406,0.14978714909829974,29.2,25.138022993067693,1.24,2.228168837413501e-11,1.6513709154767633e-11
52.3550333834597,394.91435437589763,0.1340743447901402,33.2,29.034231520741166,0.41,8.711569163650159e-11,6.662556312536553e-11
143.11878094245904,1595.3028330119437,0.052884989381548446,50.4,47.803850263341765,0.98,8.399222294232015e-11,7.556205443940377e-11
144.98950171763127,318.38645798770455,0.15487428377678022,102.0,87.36533065238179,4.39,7.679623016429552e-11,5.634012521830533e-11
123.3211525637013,184.05172511893537,0.22402783156949888,116.0,92.71797506416974,5.65,7.717410629792555e-11,4.930415349938919e-11
104.17847546339928,113.89049458769915,0.3108638169275394,132.0,96.73140389759676,6.34,8.905589709096336e-11,4.7824429958436495e-11
111.00384884289628,118.44001753794288,0.30260212079356924,137.0,101.22834484471234,6.89,8.827261465469318e-11,4.8193573298392376e-11
129.5100629082934,125.32390416588835,0.29109169638095483,154.0,115.10685904845114,8.34,9.214663266146642e-11,5.148022476380528e-11
176.82704292547564,190.70999377029497,0.21870058020735408,163.0,130.9806523880531,10.04,8.575225991691046e-11,5.537129285837854e-11
185.9908591345139,193.5949015160354,0.21648953277509933,170.0,136.90796397580382,11.65,8.0385181311697e-11,5.213574414704088e-11
176.1665208623177,167.5448401753867,0.23877358624044936,175.0,137.8288072211321,13.36,7.428031170322997e-11,4.6076301948921334e-11
156.9106840342363,136.0467421151432,0.27517994982297583,177.0,134.42007476563907,15.06,6.741020364426933e-11,3.887830940226994e-11
141.2378344564903,114.79816117046411,0.3091704534088572,178.0,130.66190339957552,16.67,6.158975593086178e-11,3.3186881094293135e-11
63.31882522061156,111.84456006072611,0.13335118020698106,40.0,35.00630800298712,0.83,6.246632674573862e-11,4.784302212088796e-11
137.8073231967452,197.7504225467502,0.09198333380561603,67.9,61.93297183245771,1.85,8.075546058047678e-11,6.718559843057576e-11
