galaxy,n_points,r_min,r_max,c0_mean,c0_median,c0_std,c0_error_mean,phi_mean,regime
D631-7,2,1.8,2.25,52.75337147467336,52.75337147467336,13.659632495803326,87.13745053319587,0.14648338495655214,Non-saturated (Slope)
DDO161,14,0.73,6.28,72.18401488369939,62.34099461105931,40.30842609066359,1320.4689390899864,0.1673500515305167,Non-saturated (Slope)
DDO168,2,0.82,1.24,52.60965413418767,52.60965413418767,10.075128735690939,153.82013318771493,0.10411240657151336,Non-saturated (Slope)
ESO079-G014,12,0.41,16.67,137.13414976957282,142.17830769947466,35.586510755708055,304.4170354611113,0.22739443217289723,Non-saturated (Slope)
ESO116-G012,13,0.83,9.86,62.61870321963811,61.18458667788577,26.444020372467172,41.13157200808807,0.4066550339910529,Saturated (Plateau)
ESO563-G021,8,30.53,42.41,207.8730569095602,194.67306366424484,42.068916458593506,101.7583405657553,0.37986492239818054,Saturated (Plateau)
F561-1,2,3.23,4.84,120.04658067951154,120.04658067951154,16.60247391975706,,0.05799442634825791,Non-saturated (Slope)
F563-V1,3,2.63,5.24,115.06789870498756,82.65243349189768,78.76674385435106,,0.05688834229624585,Non-saturated (Slope)
F567-2,5,1.92,9.59,51.56375770446234,45.82523053641409,20.81397289618565,,0.24162502982248632,Non-saturated (Slope)
F568-1,4,8.37,13.23,33.63575323833421,33.13191043005493,2.9712168199333027,17.553018472436058,0.7517929195916105,Dwarf (Valley)
F568-3,16,1.18,17.98,41.723664993652136,38.16750709944378,12.010757386120229,164.9820204202432,0.45843661341355074,Saturated (Plateau)
F571-8,6,4.77,11.1,82.82023146749908,71.36938464451846,46.433775006879834,,0.4390300185384873,Saturated (Plateau)
F571-V1,2,1.95,3.88,33.304152604162276,33.304152604162276,1.6543812781108347,,0.32141546919978603,Saturated (Plateau)
F574-1,11,1.41,12.6,37.18924964620398,36.41597118446908,3.9614001864213737,16.363979176087284,0.5279727661695076,Saturated (Plateau)
F579-V1,11,2.84,15.16,59.57004126746903,62.95606088070725,12.238930657731347,19.043273075899325,0.44643357145849233,Saturated (Plateau)
F583-4,8,1.94,6.74,35.90615245630171,35.805179799391894,2.619919272683372,13.108199627020095,0.39778010220117666,Saturated (Plateau)
IC2574,2,1.14,1.99,31.79727570583976,31.79727570583976,1.5904408161518617,261.81400120530805,0.0974480302809492,Non-saturated (Slope)
IC4202,2,25.03,25.9,271.0853711287321,271.0853711287321,23.891091561136946,90.01495510935898,0.21294876106278138,Non-saturated (Slope)
NGC0024,26,0.32,8.49,53.548574734006024,59.0043663999144,14.509756774112134,45.098346166512066,0.39141721176479627,Saturated (Plateau)
NGC0055,19,2.46,13.5,68.86196160657457,53.96353171889806,42.29042661088309,72.52148368509874,0.31886244705407174,Saturated (Plateau)
NGC0100,14,1.59,7.98,76.31215773376466,58.165099061349665,48.86077290171513,192.53741241670738,0.30451779353916314,Saturated (Plateau)
NGC0247,22,3.22,14.54,49.146906020985746,51.23967595783091,5.480362364789669,26.482690621410438,0.4424963418509108,Saturated (Plateau)
NGC0289,20,13.57,71.12,108.87450951553376,84.6210353094038,57.03933897469369,47.804149094280376,0.43851014068267835,Saturated (Plateau)
NGC0300,18,0.91,8.62,46.047319759029804,40.92386714344144,14.569875773220883,26.879129774708517,0.4183121910782677,Saturated (Plateau)
NGC0801,2,52.86,59.82,247.20744323503726,247.20744323503726,21.917383697386512,,0.20669521009239666,Non-saturated (Slope)
NGC1003,16,5.39,17.78,61.9723009810838,52.38668028841191,36.145768938480536,33.337234893208205,0.44393346860445837,Saturated (Plateau)
NGC1090,10,18.8,30.09,176.2423030298841,161.61001440069802,42.646620876859224,103.27644964972073,0.23194093885406736,Non-saturated (Slope)
NGC1705,4,0.22,1.55,38.86551450242039,35.675113091548624,9.273435057697137,17.340069335251933,0.4114175891750129,Saturated (Plateau)
NGC2366,3,1.07,1.54,82.22833355770948,51.861825681497095,56.136035098151275,494.99935129497027,0.11695369250558994,Non-saturated (Slope)
NGC2403,39,0.16,20.87,82.49563051368314,60.00441064528457,61.39470475370352,62.90853158483669,0.4735269452689407,Saturated (Plateau)
NGC2683,6,17.31,34.62,148.83391563114006,151.00413403786646,47.12801676460295,,0.2877704688762766,Saturated (Plateau)
NGC2841,23,18.48,63.64,124.2564660450296,113.78289238202298,54.158647611723154,67.0957524327355,0.5649625702926465,Dwarf (Valley)
NGC2903,12,14.4,24.96,177.07391807950455,159.66504189737537,51.815665146795176,91.48706127448578,0.2682538936553361,Saturated (Plateau)
NGC2915,3,1.34,2.01,55.22505369061238,41.46448126710247,27.880385769674884,13.856547486542688,0.32441084606624465,Saturated (Plateau)
NGC2976,2,2.1,2.27,194.37674456491428,194.37674456491428,9.575039965618885,,0.07948133343782063,Non-saturated (Slope)
NGC2998,7,0.99,42.28,196.15926750266922,198.46276661320505,55.92069347922214,159.6277004112933,0.2412175164604544,Non-saturated (Slope)
NGC3198,23,2.89,44.08,124.26782834641317,87.0433728632086,77.29662465658654,166.13096878602005,0.3755051169175451,Saturated (Plateau)
NGC3521,2,15.49,17.74,197.45005312788257,197.45005312788257,26.625364790532416,,0.2567035538558658,Saturated (Plateau)
NGC3726,4,22.3,32.52,127.78390667530458,106.5604205663843,47.77548943116023,,0.34729592762905587,Saturated (Plateau)
NGC3769,9,6.98,37.16,102.42305409264854,88.13492400049378,74.10652000608535,,0.4016205490787876,Saturated (Plateau)
NGC3893,4,13.12,19.05,178.64883133040917,169.5417185419881,29.84675463683353,,0.24327825585838733,Non-saturated (Slope)
NGC3917,16,1.74,14.86,133.47585327123258,145.6330044895343,30.728843194125496,69.75399296247772,0.22409040401064284,Non-saturated (Slope)
NGC3972,9,1.74,8.72,136.60940138584476,125.84809057714277,36.42202312860241,,0.19897187153058735,Non-saturated (Slope)
NGC3992,5,27.52,46.02,209.70698866301504,194.75672497095474,57.75667843350346,,0.30293970837520234,Saturated (Plateau)
NGC4010,7,0.87,10.47,134.15834924080332,144.56518615783702,40.23839039085808,,0.19658675684418317,Non-saturated (Slope)
NGC4013,19,17.88,31.01,139.949966251405,125.89819617742465,51.442917437611094,68.37002868463051,0.3327311587226652,Saturated (Plateau)
NGC4068,3,1.48,2.33,40.12769419244955,42.232042107721156,6.7090367952962895,,0.22242987743069073,Non-saturated (Slope)
NGC4100,14,11.35,22.76,180.91194489909046,164.5975469625875,48.22853907635265,105.12702084098613,0.24212052159237304,Non-saturated (Slope)
